State,Agency Type,Agency Name,Population1,"Total Offenses","Crimes Against Persons","Crimes Against Property","Crimes Against Society","Assault Offenses","Aggravated Assault","Simple Assault",Intimidation,"Homicide Offenses","Murder and Nonnegligent Manslaughter","Negligent Man- 1slaughter","Justifiable Homicide","Human Trafficking Offenses","Commercial Sex Acts","Involuntary Servitude","Kidnapping/ Abduction","Sex Offenses",Rape,Sodomy,"Sexual Assault With an Object",Fondling,Incest,"Statutory Rape",Arson,Bribery,"Burglary/ Breaking & Entering","Counter- feiting/ Forgery","Destruction/ Damage/ Vandalism of Property","Embezzle- ment","Extortion/ Blackmail","Fraud Offenses","False Pretenses/ Swindle/ Confidence Game","Credit Card/ Automated Teller Machine Fraud","Imper- sonation","Welfare Fraud","Wire Fraud","Identity  Theft","Hacking/ Computer  Invasion","Larceny/ Theft Offenses","Pocket- picking","Purse- snatching","Shop- lifting","Theft From Building","Theft From Coin Op- erated Machine or Device","Theft from Motor Vehicle","Theft of  Motor  Vehicle Parts or Acces- sories","All Other Larceny","Motor Vehicle Theft",Robbery,"Stolen Property Offenses","Animal  Cruelty","Drug/ Narcotic Offenses","Drug/ Narcotic Violations","Drug Equipment Violations","Gambling Offenses","Betting/ Wagering","Operating/ Promoting/ Assisting Gambling","Gambling Equipment Violations","Sports Tampering","Por- nography/ Obscene Material","Pros- titution Offenses","Pros- titution","Assisting or Promoting Prostitution","Purchasing Prostitution","Weapon Law Violations"
OHIO,Cities,Springboro,"18,789",383,54,170,159,50,3,27,20,0,0,0,0,0,0,0,0,4,1,0,0,3,0,0,1,1,17,12,22,0,0,24,10,4,2,0,0,8,0,83,0,0,0,6,1,3,0,73,7,0,3,0,153,78,75,0,0,0,0,0,0,0,0,0,0,6
OHIO,Cities,"Springfield Township, Mahoning County","6,448",201,46,115,40,43,0,10,33,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,20,0,20,0,0,12,2,1,1,0,0,8,0,60,0,0,2,18,0,5,1,34,1,1,0,0,35,24,11,0,0,0,0,0,1,0,0,0,0,4
OHIO,Cities,"Springfield Township, Summit County","14,572","1,516",315,956,245,291,19,161,111,0,0,0,0,0,0,0,4,20,14,1,0,5,0,0,2,0,100,13,154,0,0,30,8,6,0,0,0,16,0,589,0,0,299,56,0,36,16,182,27,13,28,0,230,121,109,0,0,0,0,0,7,0,0,0,0,8
OHIO,Cities,St. Marys,"8,127",372,99,148,125,90,6,37,47,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,0,25,15,26,0,0,14,4,3,1,0,0,6,0,63,0,0,7,7,0,9,4,36,2,0,3,0,120,80,40,0,0,0,0,0,2,0,0,0,0,3
OHIO,Cities,Streetsboro,"16,411",495,79,274,142,75,9,49,17,1,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,23,6,32,0,0,17,8,6,0,0,0,3,0,185,0,1,61,38,2,20,1,62,7,0,4,0,134,87,47,0,0,0,0,0,0,1,0,1,0,7
OHIO,Cities,Struthers,"10,193",390,119,218,53,111,3,48,60,0,0,0,0,0,0,0,2,6,3,0,0,3,0,0,1,0,31,2,48,0,1,17,1,6,0,0,2,8,0,105,1,2,16,13,0,15,3,55,7,5,1,0,47,35,12,0,0,0,0,0,2,0,0,0,0,4
OHIO,Cities,Sugarcreek Township,"8,412",523,80,356,87,69,7,22,40,0,0,0,0,0,0,0,2,9,2,0,0,7,0,0,0,0,12,9,61,0,0,39,8,6,1,0,0,24,0,217,0,1,107,1,0,28,0,80,2,1,15,0,81,49,32,0,0,0,0,0,4,0,0,0,0,2
OHIO,Cities,Swanton,"3,900",207,57,83,67,55,1,45,9,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,11,0,13,0,2,15,5,7,0,0,0,3,0,39,0,0,3,6,0,10,0,20,1,0,2,0,63,44,19,0,0,0,0,0,1,0,0,0,0,3
OHIO,Cities,Sylvania Township,"29,574","1,357",316,920,121,307,38,226,43,0,0,0,0,0,0,0,3,6,5,0,0,1,0,0,1,0,67,21,96,0,5,109,11,26,4,0,0,68,0,576,2,3,287,20,0,67,10,187,23,6,16,1,113,55,58,0,0,0,0,0,0,0,0,0,0,7
OHIO,Cities,Tipp City,"9,995",487,61,214,212,56,2,20,34,0,0,0,0,0,0,0,0,5,3,0,0,2,0,0,0,0,12,2,65,0,0,14,5,4,0,0,0,5,0,111,0,0,29,10,1,24,0,47,8,0,2,0,210,121,89,0,0,0,0,0,1,0,0,0,0,1
OHIO,Cities,Toledo4,"275,023",,"15,332",,"5,856","14,928","1,591","12,889",448,41,37,0,4,0,0,0,70,293,220,19,0,51,0,3,,1,"2,819",42,"1,410",0,6,446,291,24,1,28,0,102,0,"6,784",23,22,"1,160",232,3,"1,299",445,"3,600",721,485,202,11,"5,306","3,428","1,878",0,0,0,0,0,12,21,1,20,0,506
OHIO,Cities,Toronto,"4,776",106,59,25,22,55,3,35,17,1,1,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,8,0,2,0,0,2,0,1,0,0,0,1,0,9,0,0,1,5,0,0,0,3,0,1,3,0,22,18,4,0,0,0,0,0,0,0,0,0,0,0
OHIO,Cities,Trotwood,"24,380","2,086",548,"1,314",224,491,95,272,124,6,6,0,0,0,0,0,7,44,22,3,0,18,0,1,7,0,202,16,274,0,1,38,6,4,3,0,0,25,0,529,6,4,98,41,0,147,9,224,178,39,30,0,184,119,65,0,0,0,0,0,1,0,0,0,0,39
OHIO,Cities,Troy,"25,960","1,565",287,786,492,268,19,102,147,0,0,0,0,0,0,0,2,17,6,2,0,9,0,0,1,0,66,27,137,4,2,58,27,18,0,0,0,13,0,451,0,1,191,80,1,76,8,94,21,6,13,0,466,241,225,0,0,0,0,0,6,1,0,1,0,19
